Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-12-31,81.75494654542138,83.08540009113327,81.5015281376922,83.01299285888672,1451700,0.0,0
2013-01-02,84.58784267627165,86.15361683868583,84.50638968948046,85.30284881591797,2020100,0.0,0
2013-01-03,85.18516876834354,86.13548787852072,85.18516876834354,85.61959838867188,1723800,0.0,0
2013-01-04,85.80060353163258,86.02687093872534,85.40237068550664,85.90016174316406,1500600,0.0,0
2013-01-07,85.44763342334741,85.75535380591762,85.30281895733758,85.72820281982422,1148600,0.0,0
2013-01-08,85.4566991987902,86.47037998329121,85.22138599401487,86.0811996459961,2177600,0.0,0
2013-01-09,86.01784348616538,87.71032667245197,85.78252338047409,87.58361053466797,2345100,0.0,0
2013-01-10,88.09945977449344,88.42528533935547,87.48401915767866,88.42528533935547,2009700,0.0,0
2013-01-11,88.28954753473151,88.49770968833566,87.89131467721613,88.1537857055664,1272400,0.0,0
2013-01-14,88.1175860358168,89.36657972875973,87.98182420057363,89.07695770263672,2253600,0.0,0
2013-01-15,88.80543848097183,89.41183350246718,88.46150758718423,89.30322265625,1655900,0.0,0
2013-01-16,89.14032637426,90.1630597100627,89.14032637426,90.09065246582031,2061200,0.0,0
2013-01-17,90.44361114501953,91.0228551733758,89.9820236862835,90.44361114501953,2312800,0.0,0
2013-01-18,90.50692977861533,90.66984252842207,89.0678729095981,90.3440170288086,2320600,0.0,0
2013-01-22,90.09063900624338,91.1405162703663,89.97298243077861,91.05001068115234,1515900,0.0,0
2013-01-23,90.76944140272265,91.00476145909629,89.83722071283542,90.18114471435547,1486000,0.0,0
2013-01-24,90.50697261240194,92.86920514999636,90.44361800777862,92.07274627685547,2702300,0.0,0
2013-01-25,92.10894922056453,93.09547887944825,91.60211234929038,92.8330078125,2081000,0.0,0
2013-01-28,93.07735697581595,93.3488806255305,92.47096198393778,93.2312240600586,1934800,0.0,0
2013-01-29,92.89634725866021,93.32173109410512,92.48906868288248,92.76963806152344,1649400,0.0,0
2013-01-30,92.33519214726793,92.44380297875638,91.46632621075834,91.74690246582031,2373000,0.0,0
2013-01-31,91.3848910783453,92.19040257977667,91.12242002993797,91.81932067871094,2306200,0.0,0
2013-02-01,92.21755359041502,93.16787956230243,91.81932070236559,93.00496673583984,2667400,0.0,0
2013-02-04,92.715328580812,94.21774047019117,92.715328580812,93.57514190673828,3306900,0.0,0
2013-02-05,93.86476973878166,95.20427581859605,93.41223492744525,95.09566497802734,2772400,0.0,0
2013-02-06,94.70646947607625,96.18173023704094,94.6431148889215,96.09122467041016,3476400,0.0,0
2013-02-07,96.40801035889508,96.84244680337436,95.82876636967806,96.82434844970703,4063400,0.0,0
2013-02-08,96.66143300138424,97.29497893940163,96.14554362181785,96.30845642089844,2101500,0.0,0
2013-02-11,95.94645690917969,96.27228260819238,95.46677099261515,95.94645690917969,1746100,0.0,0
2013-02-12,96.01883210148365,96.37181560391133,95.55725156971896,96.04598999023438,2044600,0.0,0
2013-02-13,96.0460031079285,96.51663633355454,95.53915935902263,96.08220672607422,1739900,0.0,0
2013-02-14,95.80161528312938,96.71573750783539,95.43054033971916,96.4442138671875,1660600,0.0,0
2013-02-15,96.75196431917406,97.24974857287512,96.10936558103546,96.3175277709961,1594900,0.0,0
2013-02-19,96.48948485638718,97.19543814380944,96.30847367171165,97.1411361694336,1093900,0.0,0
2013-02-20,97.19543798725579,97.19543798725579,95.5663097072638,95.65682220458984,1472200,0.0,0
2013-02-21,95.34911290211207,96.00981696957611,94.35353738981732,94.9237289428711,1730900,0.0,0
2013-02-22,95.14997479684008,95.77447509765625,94.92370737250191,95.77447509765625,899500,0.0,0
2013-02-25,96.2360333236213,96.84242817928804,93.31265605153997,93.32170867919922,1592900,0.0,0
2013-02-26,93.83762231914945,94.08198808829421,92.96875627699747,93.36698913574219,2718500,0.0,0
2013-02-27,92.95065190191735,96.04599540639899,92.61578054490614,95.70206451416016,2261100,0.0,0
2013-02-28,95.5482256475118,96.00981321343134,94.87847587891731,95.42151641845703,1691400,0.0,0
2013-03-01,95.13185497823058,95.99166823467762,94.4077966216514,95.376220703125,1449100,0.0,0
2013-03-04,95.28573046539599,95.82877086763423,94.67028283482375,95.7563705444336,940500,0.0,0
2013-03-05,96.68860725975718,98.75216527478734,96.6162000193722,97.66608428955078,1818400,0.0,0
2013-03-06,98.72501055666241,99.08703983977738,97.53936448183254,97.78373718261719,1716700,0.0,0
2013-03-07,97.70215255007372,97.87434110341331,96.59653388691002,96.93184661865234,1746500,0.14,0
2013-03-08,97.50280550644817,97.82905395600733,96.98624661366189,97.69312286376953,1195600,0.0,0
2013-03-11,97.59341547962927,99.3787172093053,96.30654378570146,97.33966827392578,1372700,0.0,0
2013-03-12,97.40308153263375,97.58432751744469,96.06183773712287,96.45152282714844,1268500,0.0,0
2013-03-13,96.54218295940801,98.05560894847811,96.49687490282078,97.75655364990234,1412300,0.0,0
2013-03-14,97.88341993635493,98.63559722900392,97.72935319604022,98.6355972290039,1450000,0.0,0
2013-03-15,98.4362024616107,98.88932435432172,97.91057940668402,98.84400939941406,2096500,0.0,0
2013-03-18,97.72029147041809,98.245914645987,96.83216931466052,97.23091888427734,1784700,0.0,0
2013-03-19,97.33060076614615,97.85622391195602,96.06185786436434,96.47872924804688,2651700,0.0,0
2013-03-20,92.43688301705043,92.89000499262421,89.5550269758375,89.8359603881836,11579100,0.0,0
2013-03-21,89.51878036005625,89.70909076855021,86.3650551420236,87.45254516601562,9159800,0.0,0
2013-03-22,87.92379531774252,89.62753856894966,87.896609102303,89.24691772460938,5379400,0.0,0
2013-03-25,89.2740907717633,89.41002874300298,87.07191776277612,87.92378234863281,2910300,0.0,0
2013-03-26,88.20473189017856,89.10191153163397,88.05067206657277,88.55816650390625,2532800,0.0,0
2013-03-27,88.1684796948623,88.52191430215646,87.56129787352036,88.4947280883789,2335500,0.0,0
2013-03-28,88.15941362748936,89.20159559155594,88.08691244941156,88.99315643310547,2217200,0.0,0
2013-04-01,89.18347169087423,90.19846050411078,88.41315879128084,88.61253356933594,2050800,0.0,0
2013-04-02,88.63067343354645,89.01129428623476,87.74255119651345,88.0144271850586,1838600,0.0,0
2013-04-03,88.04158552581728,88.50377179437152,87.07190494769222,87.2531509399414,2932600,0.0,0
2013-04-04,87.47970737584652,88.13220397683965,86.96314871907548,86.98127746582031,2249000,0.0,0
2013-04-05,86.01162214926079,86.86348681550666,85.36818281894536,86.54630279541016,2878100,0.0,0
2013-04-08,86.48286449064237,87.02660950338542,86.1384942625268,86.31974029541016,2032500,0.0,0
2013-04-09,86.35597522120396,86.83628334390828,85.79410155863175,86.40128326416016,2270600,0.0,0
2013-04-10,86.53723460068424,89.02034805207815,86.491926550723,88.76659393310547,3138600,0.0,0
2013-04-11,88.69411931210136,88.8119285650014,87.50693474908711,87.59756469726562,2036000,0.0,0
2013-04-12,87.42535076663465,87.851286508946,86.87254143054022,87.29847717285156,1387400,0.0,0
2013-04-15,86.62782176808152,87.08094356474876,85.42252304365498,85.83032989501953,3107000,0.0,0
2013-04-16,86.44661562914403,86.69130538392969,85.83036942529291,86.22005462646484,2317300,0.0,0
2013-04-17,85.58567495251015,86.1294199022203,84.81536211682092,85.2956771850586,2284500,0.0,0
2013-04-18,84.44380724549676,84.90599357245092,82.11476068894007,83.25662994384766,4952400,0.0,0
2013-04-19,83.7278823852539,84.16288254630344,83.10257181439927,83.7278823852539,1901000,0.0,0
2013-04-22,83.98162022782489,84.14474440575577,82.42287961961702,83.82756042480469,1584300,0.0,0
2013-04-23,84.2263287764786,84.45288980123641,83.4016433275951,84.43476104736328,2537900,0.0,0
2013-04-24,85.82129451252044,87.135352315182,85.54942549114003,85.60379791259766,3056500,0.0,0
2013-04-25,85.73975762528477,86.03881984733313,84.48914321593797,85.45882415771484,2326400,0.0,0
2013-04-26,85.70349411330385,85.89380452208019,85.17787093815413,85.35005950927734,1652400,0.0,0
2013-04-29,85.5947486300332,85.71256478275482,84.73381953938802,84.96038055419922,1878900,0.0,0
2013-04-30,85.04191718182685,85.57660463366932,84.36223431337584,85.19598388671875,1981000,0.0,0
2013-05-01,84.87880355666857,85.20504498649666,83.22943308791044,83.37443542480469,2396600,0.0,0
2013-05-02,83.5828727601013,84.38036485361256,83.53755780227227,83.63724517822266,2404500,0.0,0
2013-05-03,84.26257805980767,86.2200616879467,84.26257805980767,85.65818786621094,2317300,0.0,0
2013-05-06,86.02068604214973,87.7244293302004,85.85756183189154,87.20787048339844,3045700,0.0,0
2013-05-07,87.57034030012542,90.26188562747005,87.46159546368602,90.18938446044922,4689700,0.0,0
2013-05-08,89.78156121471177,92.51841408957715,89.53687846300183,92.39154052734375,4873600,0.0,0
2013-05-09,92.04718602203745,92.52749414821615,90.83282260219634,91.01406860351562,2754200,0.0,0
2013-05-10,90.760332879697,91.67564120417862,90.28002469295787,90.73314666748047,2278900,0.0,0
