index,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-21 09:30:00-05:00,659.1099853515625,667.64990234375,651.2006225585938,662.7000122070312,20361281,0,0
2020-12-21 10:30:00-05:00,662.5900268554688,665.0599975585938,654.010009765625,656.0,7005306,0,0
2020-12-21 11:30:00-05:00,655.989990234375,663.4199829101562,655.3499755859375,657.260009765625,5702151,0,0
2020-12-21 12:30:00-05:00,657.3154296875,668.010009765625,657.0,664.6799926757812,5545472,0,0
2020-12-21 13:30:00-05:00,664.6688232421875,665.8900146484375,660.739990234375,662.6500244140625,3215568,0,0
2020-12-21 14:30:00-05:00,662.6199951171875,664.010009765625,656.0,659.4927978515625,4656143,0,0
2020-12-21 15:30:00-05:00,659.3800048828125,660.6799926757812,646.0700073242188,649.780029296875,8521143,0,0
2020-12-22 09:30:00-05:00,648.0,649.8800048828125,632.02001953125,634.844970703125,13428536,0,0
2020-12-22 10:30:00-05:00,634.8828125,637.8200073242188,618.4000244140625,624.0499877929688,10956901,0,0
2020-12-22 11:30:00-05:00,624.2000122070312,629.489990234375,614.22998046875,620.739990234375,8391516,0,0
2020-12-22 12:30:00-05:00,620.7999877929688,627.989990234375,620.6201171875,624.2684936523438,3547901,0,0
2020-12-22 13:30:00-05:00,624.2938842773438,637.5499877929688,622.3900146484375,633.8192749023438,6133646,0,0
2020-12-22 14:30:00-05:00,633.739990234375,639.5499877929688,630.510009765625,635.25830078125,4329651,0,0
2020-12-22 15:30:00-05:00,635.1300048828125,641.8751220703125,634.8200073242188,640.0900268554688,3135323,0,0
2020-12-23 09:30:00-05:00,633.594970703125,647.97998046875,622.8695068359375,643.95361328125,12141118,0,0
2020-12-23 10:30:00-05:00,644.0,651.4998779296875,642.3905029296875,642.8200073242188,5783385,0,0
2020-12-23 11:30:00-05:00,642.75,646.8499755859375,641.0,646.1566772460938,3835091,0,0
2020-12-23 12:30:00-05:00,646.1300048828125,647.989990234375,643.0499877929688,644.6900024414062,2536208,0,0
2020-12-23 13:30:00-05:00,644.5999755859375,646.6799926757812,643.0,644.9550170898438,2205741,0,0
2020-12-23 14:30:00-05:00,645.0,649.1199951171875,644.510009765625,646.2000122070312,2671869,0,0
