Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,eps
2017-10-31,213.10616029212983,213.28365762511643,210.92017201692693,210.9481964111328,949200.0,0.0,0,2.51
2017-11-10,202.61526062965862,204.07258606100902,202.03607084399968,203.79232788085938,936300.0,0.0,0,2.51
2017-11-15,204.54905796225154,205.4085060487264,200.0743059278525,200.33587646484375,1323400.0,0.0,0,2.51
2017-11-20,202.35370634884066,203.96984155242671,201.83056530637518,202.9515838623047,991200.0,0.0,0,2.51
2017-11-30,212.36817734852167,218.49642577023525,212.36817734852167,216.2263641357422,2789100.0,0.0,0,2.51
2017-12-05,222.61614093944877,223.7464960584149,219.59872937878052,219.90699768066406,1592100.0,0.0,0,2.51
2017-12-08,,,,,,0.5,0,2.51
2017-12-15,225.1417650817761,226.3025843143834,224.2617908246477,224.7205047607422,2227000.0,0.0,0,2.51
2017-12-20,236.4691133854788,237.06824277811785,230.85226997284863,235.0368194580078,5898100.0,0.0,0,3.18
2018-01-04,245.54027405450174,249.21929897808454,245.26878533865892,247.96487426757812,2600400.0,0.0,0,3.18
2018-01-09,252.7579120026917,253.69405241751647,249.94949075821737,250.65159606933594,1648300.0,0.0,0,3.18
2018-01-19,255.3603683054978,256.8581986072545,252.58940081692677,256.8020324707031,1420400.0,0.0,0,3.18
2018-01-24,255.04211820850614,255.4540223109417,251.65329419471064,253.14175415039062,1421700.0,0.0,0,3.18
2018-01-29,250.41762049535402,253.27283801182173,250.20229786401168,250.59548950195312,1153300.0,0.0,0,3.18
2018-02-08,235.57973480202568,235.57973480202568,223.86862310016133,223.99032592773438,2735400.0,0.0,0,3.18
2018-02-13,223.49416306321552,226.10598848035994,221.60315546553537,224.9732666015625,1537700.0,0.0,0,3.18
2018-02-23,232.3688255856092,236.13211487352723,231.69480319719483,236.11338806152344,1806900.0,0.0,0,3.18
2018-02-28,233.62321421839096,235.53294878306505,230.53394779979698,230.67437744140625,1739400.0,0.0,0,3.18
2018-03-05,224.1120629451249,227.585150996015,222.0525563991192,226.4898681640625,1064200.0,0.0,0,3.18
2018-03-09,,,,,,0.5,0,3.18
2018-03-15,232.22443195651493,236.04245491676642,231.91486020609463,232.08370971679688,1732100.0,0.0,0,3.18
2018-03-20,235.0387187224299,238.29389585651617,233.9411538962994,236.3895721435547,3398100.0,0.0,0,3.72
2018-04-04,221.86790237900618,224.29756900383887,218.1343041207686,223.97860717773438,2027400.0,0.0,0,3.72
2018-04-09,221.10804767845931,223.6221390227445,219.56957899821296,219.81349182128906,1385400.0,0.0,0,3.72
2018-04-19,239.19440975286457,239.19440975286457,234.13810045731927,236.0142822265625,1483900.0,0.0,0,3.72
2018-04-24,234.88861697839778,238.17193564698826,228.18127170964488,230.35763549804688,1817800.0,0.0,0,3.72
2018-05-04,225.65779723896551,230.9017225941062,223.8003810313137,229.77601623535156,989500.0,0.0,0,3.72
2018-05-09,228.05926066096083,229.18496678627218,226.15493743449218,229.0536346435547,1388700.0,0.0,0,3.72
2018-05-14,236.96176768077834,238.06870807486888,235.22629378562078,235.78915405273438,1047600.0,0.0,0,3.72
2018-05-24,234.69159533900714,236.40830355619906,233.11560935779434,236.155029296875,1496300.0,0.0,0,3.72
2018-05-29,234.7384943918761,235.8923565664593,231.06117958586435,232.28070068359375,1159700.0,0.0,0,3.72
2018-06-08,241.0612650650002,244.28830065831005,240.85488388304663,244.0443878173828,1221800.0,0.0,0,3.72
2018-06-13,249.50406466108464,249.5603478308789,246.09878974720536,246.6428985595703,1147800.0,0.0,0,3.72
