Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 09:30:00-05:00,93.79000091552734,93.94999694824219,93.30999755859375,93.41000366210938,2287064,0,0
2022-11-25 09:35:00-05:00,93.40879821777344,93.9000015258789,93.36000061035156,93.77999877929688,765852,0,0
2022-11-25 09:40:00-05:00,93.7699966430664,94.0,93.41999816894531,93.52739715576172,969109,0,0
2022-11-25 09:45:00-05:00,93.52739715576172,93.61000061035156,93.0801010131836,93.08999633789062,836342,0,0
2022-11-25 09:50:00-05:00,93.11000061035156,93.41999816894531,93.06500244140625,93.16000366210938,759121,0,0
2022-11-25 09:55:00-05:00,93.16000366210938,93.4800033569336,93.0999984741211,93.44499969482422,646757,0,0
2022-11-25 10:00:00-05:00,93.44999694824219,93.8499984741211,93.3499984741211,93.81189727783203,869484,0,0
2022-11-25 10:05:00-05:00,93.81009674072266,93.95500183105469,93.66999816894531,93.95500183105469,871756,0,0
2022-11-25 10:10:00-05:00,93.95500183105469,94.04000091552734,93.79000091552734,94.0,776547,0,0
2022-11-25 10:15:00-05:00,94.0,94.3019027709961,94.0,94.17749786376953,1331504,0,0
2022-11-25 10:20:00-05:00,94.17500305175781,94.19000244140625,93.87000274658203,94.0999984741211,986168,0,0
2022-11-25 10:25:00-05:00,94.0999984741211,94.1500015258789,93.86000061035156,93.9800033569336,640148,0,0
2022-11-25 10:30:00-05:00,93.95999908447266,94.19529724121094,93.93000030517578,94.12889862060547,833329,0,0
2022-11-25 10:35:00-05:00,94.12149810791016,94.23999786376953,93.83000183105469,93.86199951171875,778157,0,0
2022-11-25 10:40:00-05:00,93.87000274658203,93.98999786376953,93.80999755859375,93.96990203857422,494390,0,0
2022-11-25 10:45:00-05:00,93.97000122070312,94.04000091552734,93.83999633789062,93.97000122070312,532170,0,0
2022-11-25 10:50:00-05:00,93.97000122070312,93.9749984741211,93.83999633789062,93.86009979248047,349097,0,0
2022-11-25 10:55:00-05:00,93.86499786376953,93.94999694824219,93.75,93.82250213623047,438181,0,0
2022-11-25 11:00:00-05:00,93.83000183105469,94.19999694824219,93.72000122070312,94.15869903564453,833187,0,0
2022-11-25 11:05:00-05:00,94.15499877929688,94.43000030517578,94.09500122070312,94.29499816894531,1154009,0,0
2022-11-25 11:10:00-05:00,94.2750015258789,94.3499984741211,94.18000030517578,94.33869934082031,613965,0,0
2022-11-25 11:15:00-05:00,94.33499908447266,94.35870361328125,94.0999984741211,94.0999984741211,517137,0,0
2022-11-25 11:20:00-05:00,94.0999984741211,94.12000274658203,93.86720275878906,93.87989807128906,725809,0,0
2022-11-25 11:25:00-05:00,93.87999725341797,93.89119720458984,93.52999877929688,93.53900146484375,864337,0,0
2022-11-25 11:30:00-05:00,93.53009796142578,93.55000305175781,93.37000274658203,93.49009704589844,731958,0,0
2022-11-25 11:35:00-05:00,93.49500274658203,93.66000366210938,93.44999694824219,93.52909851074219,536879,0,0
2022-11-25 11:40:00-05:00,93.5250015258789,93.66000366210938,93.44999694824219,93.65499877929688,425515,0,0
2022-11-25 11:45:00-05:00,93.65650177001953,93.66000366210938,93.55000305175781,93.5999984741211,346715,0,0
2022-11-25 11:50:00-05:00,93.6093978881836,93.77999877929688,93.58000183105469,93.70010375976562,471676,0,0
2022-11-25 11:55:00-05:00,93.70500183105469,93.8949966430664,93.62000274658203,93.67500305175781,395087,0,0
2022-11-25 12:00:00-05:00,93.67030334472656,93.69999694824219,93.59100341796875,93.59500122070312,412291,0,0
2022-11-25 12:05:00-05:00,93.58999633789062,93.6500015258789,93.51000213623047,93.5615005493164,596355,0,0
