index,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-21 09:30:00-05:00,3199.39990234375,3226.966552734375,3179.419921875,3188.010009765625,1327485,0,0
2020-12-21 10:30:00-05:00,3187.2099609375,3196.25,3166.0,3192.5,638505,0,0
2020-12-21 11:30:00-05:00,3192.97998046875,3218.794921875,3192.97998046875,3218.580078125,428393,0,0
2020-12-21 12:30:00-05:00,3218.7900390625,3219.050048828125,3205.699951171875,3213.780029296875,247377,0,0
2020-12-21 13:30:00-05:00,3214.31005859375,3216.537353515625,3203.014892578125,3212.449951171875,195330,0,0
2020-12-21 14:30:00-05:00,3211.35546875,3214.589599609375,3202.300048828125,3204.260009765625,190094,0,0
2020-12-21 15:30:00-05:00,3204.489990234375,3206.219970703125,3191.7900390625,3205.739990234375,286670,0,0
2020-12-22 09:30:00-05:00,3202.843505859375,3222.0,3188.0,3196.0,737512,0,0
2020-12-22 10:30:00-05:00,3197.706787109375,3208.64990234375,3188.0,3193.699951171875,286968,0,0
2020-12-22 11:30:00-05:00,3193.070068359375,3200.0,3180.080078125,3191.925048828125,316327,0,0
2020-12-22 12:30:00-05:00,3192.489990234375,3197.00439453125,3189.31005859375,3194.89990234375,134081,0,0
2020-12-22 13:30:00-05:00,3195.64990234375,3210.989990234375,3194.72998046875,3208.97509765625,273460,0,0
2020-12-22 14:30:00-05:00,3208.679931640625,3209.110107421875,3198.582763671875,3203.4951171875,188595,0,0
2020-12-22 15:30:00-05:00,3204.215087890625,3208.5,3200.0,3206.52001953125,209449,0,0
2020-12-23 09:30:00-05:00,3205.0,3205.75,3185.0,3200.419921875,590719,0,0
2020-12-23 10:30:00-05:00,3201.12939453125,3205.489990234375,3188.929931640625,3191.02001953125,226951,0,0
2020-12-23 11:30:00-05:00,3191.385009765625,3204.35205078125,3190.739990234375,3203.9189453125,171051,0,0
2020-12-23 12:30:00-05:00,3204.530029296875,3208.68994140625,3198.8701171875,3206.0,178532,0,0
2020-12-23 13:30:00-05:00,3205.22998046875,3210.1298828125,3201.659912109375,3203.761962890625,180841,0,0
2020-12-23 14:30:00-05:00,3204.419921875,3207.10986328125,3196.6201171875,3196.6201171875,198323,0,0
2020-12-23 15:30:00-05:00,3197.449951171875,3199.199951171875,3185.1201171875,3186.72998046875,282825,0,0
2020-12-24 09:30:00-05:00,3193.89990234375,3202.0,3182.5,3189.830078125,468694,0,0
2020-12-24 10:30:00-05:00,3189.164306640625,3194.280029296875,3172.802490234375,3179.3701171875,353097,0,0
2020-12-24 11:30:00-05:00,3179.419921875,3187.699951171875,3169.0,3171.340087890625,322703,0,0
2020-12-24 13:00:00-05:00,3171.409912109375,3175.0,3167.0,3172.68994140625,0,0,0
2020-12-28 09:30:00-05:00,3194.0,3196.570068359375,3172.68994140625,3185.139892578125,798455,0,0
2020-12-28 10:30:00-05:00,3184.97509765625,3238.10009765625,3184.510009765625,3238.10009765625,964354,0,0
2020-12-28 11:30:00-05:00,3237.449951171875,3285.0,3236.340087890625,3284.25,1051652,0,0
2020-12-28 12:30:00-05:00,3284.60009765625,3296.989990234375,3268.93994140625,3288.669921875,962784,0,0
2020-12-28 13:30:00-05:00,3288.739990234375,3299.89990234375,3280.320068359375,3299.074951171875,445475,0,0
