Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-15 09:30:00-05:00,176.61000061035156,177.9550018310547,176.5,177.92990112304688,54789,0,0
2022-11-15 09:35:00-05:00,178.0,178.52999877929688,177.4149932861328,177.4149932861328,36690,0,0
2022-11-15 09:40:00-05:00,177.45399475097656,177.59500122070312,177.06419372558594,177.22999572753906,20903,0,0
2022-11-15 09:45:00-05:00,177.2899932861328,177.2899932861328,176.3000030517578,176.4499969482422,33302,0,0
2022-11-15 09:50:00-05:00,176.4499969482422,177.25999450683594,176.3800048828125,176.94000244140625,46989,0,0
2022-11-15 09:55:00-05:00,177.0050048828125,177.2899932861328,176.94000244140625,177.25999450683594,16593,0,0
2022-11-15 10:00:00-05:00,177.32000732421875,178.36000061035156,177.32000732421875,178.10499572753906,50719,0,0
2022-11-15 10:05:00-05:00,178.13499450683594,178.4499969482422,177.82000732421875,177.9250030517578,33638,0,0
2022-11-15 10:10:00-05:00,178.00999450683594,178.27499389648438,177.97500610351562,178.2449951171875,23335,0,0
2022-11-15 10:15:00-05:00,178.27000427246094,178.6999969482422,178.11000061035156,178.11000061035156,25128,0,0
2022-11-15 10:20:00-05:00,178.02000427246094,178.8791046142578,177.83079528808594,178.8791046142578,17717,0,0
2022-11-15 10:25:00-05:00,178.89999389648438,179.3800048828125,178.82000732421875,179.0500030517578,21574,0,0
2022-11-15 10:30:00-05:00,179.0399932861328,179.0399932861328,178.7899932861328,178.97999572753906,14892,0,0
2022-11-15 10:35:00-05:00,178.97999572753906,179.22999572753906,178.85060119628906,179.0500030517578,31976,0,0
2022-11-15 10:40:00-05:00,178.91000366210938,179.42999267578125,178.83999633789062,179.368896484375,23175,0,0
2022-11-15 10:45:00-05:00,179.4199981689453,179.50999450683594,178.4499969482422,178.49000549316406,38266,0,0
2022-11-15 10:50:00-05:00,178.41000366210938,178.6999969482422,178.21890258789062,178.57000732421875,22893,0,0
2022-11-15 10:55:00-05:00,178.8300018310547,179.02999877929688,178.66000366210938,178.66000366210938,16947,0,0
2022-11-15 11:00:00-05:00,178.61500549316406,178.6300048828125,178.3800048828125,178.5,10929,0,0
2022-11-15 11:05:00-05:00,178.4199981689453,178.85499572753906,178.4199981689453,178.77630615234375,18955,0,0
2022-11-15 11:10:00-05:00,178.64999389648438,178.8800048828125,178.52000427246094,178.69000244140625,17316,0,0
2022-11-15 11:15:00-05:00,178.69000244140625,178.91000366210938,178.27999877929688,178.55499267578125,50156,0,0
2022-11-15 11:20:00-05:00,178.5449981689453,178.6999969482422,178.1699981689453,178.32000732421875,18948,0,0
2022-11-15 11:25:00-05:00,178.25,178.52999877929688,178.1699981689453,178.1699981689453,16915,0,0
2022-11-15 11:30:00-05:00,178.25,178.5800018310547,178.1699981689453,178.5800018310547,23408,0,0
2022-11-15 11:35:00-05:00,178.5800018310547,178.61000061035156,178.1999969482422,178.21499633789062,20369,0,0
2022-11-15 11:40:00-05:00,178.23500061035156,178.47999572753906,178.22999572753906,178.22999572753906,12553,0,0
2022-11-15 11:45:00-05:00,178.22999572753906,178.3800048828125,178.06399536132812,178.16000366210938,12752,0,0
2022-11-15 11:50:00-05:00,178.08999633789062,178.41000366210938,178.08999633789062,178.41000366210938,14819,0,0
2022-11-15 11:55:00-05:00,178.4250030517578,178.53720092773438,178.36500549316406,178.52999877929688,12975,0,0
2022-11-15 12:00:00-05:00,178.58999633789062,178.60000610351562,178.20799255371094,178.3000030517578,7500,0,0
2022-11-15 12:05:00-05:00,178.4199981689453,178.47000122070312,178.3300018310547,178.42799377441406,8034,0,0
2022-11-15 12:10:00-05:00,178.49000549316406,178.60000610351562,178.24000549316406,178.322998046875,13654,0,0
