Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,eps
2012-12-31,12.1875,13.043999671936035,12.137499809265137,12.957500457763672,226302000,0,0,-0.23
2013-01-07,13.148500442504883,13.486499786376953,13.114999771118164,13.397000312805176,309260000,0,0,-0.23
2013-01-14,13.399999618530273,13.725000381469727,13.376999855041504,13.605999946594238,269882000,0,0,-0.23
2013-01-21,13.581000328063965,14.236000061035156,13.332500457763672,14.19950008392334,260634000,0,0,-0.23
2013-01-28,14.189000129699707,14.223999977111816,12.917499542236328,13.25,809130000,0,0,-0.23
2013-02-04,13.138999938964844,13.40149974822998,12.755499839782715,13.09749984741211,367236000,0,0,0.21
2013-02-11,13.15999984741211,13.532500267028809,12.829999923706055,13.254500389099121,381666000,0,0,0.21
2013-02-18,13.295499801635742,13.71500015258789,13.080499649047852,13.270999908447266,262906000,0,0,0.21
2013-02-25,13.347000122070312,13.434499740600586,12.786499977111816,13.286999702453613,298266000,0,0,0.21
2013-03-04,13.267999649047852,13.833999633789062,13.206999778747559,13.709500312805176,260174000,0,0,0.21
2013-03-11,13.671500205993652,13.869999885559082,13.0024995803833,13.090999603271484,342558000,0,0,0.21
2013-03-18,12.96500015258789,13.07450008392334,12.603500366210938,12.887499809265137,302572000,0,0,0.21
2013-03-25,12.928999900817871,13.369000434875488,12.725000381469727,13.32450008392334,205670000,0,0,0.21
2013-04-01,13.348999977111816,13.369999885559082,12.683500289916992,12.77400016784668,241830000,0,0,0.21
2013-04-08,12.795999526977539,13.66349983215332,12.781499862670898,13.643500328063965,254630000,0,0,0.21
2013-04-15,13.553999900817871,13.755999565124512,12.829999923706055,13.015999794006348,286768000,0,0,0.21
2013-04-22,12.967499732971191,13.789999961853027,12.64050006866455,12.740500450134277,527780000,0,0,0.21
2013-04-29,12.744999885559082,12.962499618530273,12.287500381469727,12.90250015258789,464148000,0,0,0.18
2013-05-06,12.904500007629395,13.182499885559082,12.645500183105469,13.181500434875488,281462000,0,0,0.18
2013-05-13,13.138500213623047,13.49899959564209,13.100000381469727,13.494999885559082,234816000,0,0,0.18
2013-05-20,13.449999809265137,13.589500427246094,12.916999816894531,13.086999893188477,219576000,0,0,0.18
2013-05-27,13.324000358581543,13.595499992370605,13.241999626159668,13.460000038146973,208324000,0,0,0.18
2013-06-03,13.447999954223633,14.005000114440918,13.147500038146973,13.843500137329102,305074000,0,0,0.18
2013-06-10,13.833999633789062,14.123499870300293,13.51449966430664,13.69950008392334,264476000,0,0,0.18
2013-06-17,13.817500114440918,14.166999816894531,13.489500045776367,13.668000221252441,300852000,0,0,0.18
2013-06-24,13.564499855041504,14.010000228881836,13.25,13.884499549865723,301114000,0,0,0.18
2013-07-01,13.949999809265137,14.329000473022461,13.857999801635742,14.293999671936035,189696000,0,0,0.18
2013-07-08,14.321000099182129,15.3774995803833,14.307000160217285,15.3774995803833,323582000,0,0,0.18
2013-07-15,15.363499641418457,15.469499588012695,15.093500137329102,15.261500358581543,259448000,0,0,0.18
2013-07-22,15.462499618530273,15.680999755859375,14.77750015258789,15.600500106811523,414882000,0,0,0.18
2013-07-29,15.553500175476074,15.649999618530273,14.944999694824219,15.21049976348877,272616000,0,0,-0.02
2013-08-05,15.170000076293945,15.180999755859375,14.6274995803833,14.86299991607666,206738000,0,0,-0.02
2013-08-12,14.78950023651123,14.954000473022461,14.225000381469727,14.241000175476074,199066000,0,0,-0.02
2013-08-19,14.259499549865723,14.574999809265137,14.173999786376953,14.500499725341797,185270000,0,0,-0.02
2013-08-26,14.521499633789062,14.552499771118164,13.966500282287598,14.048999786376953,174918000,0,0,-0.02
2013-09-02,14.236499786376953,14.944000244140625,14.208499908447266,14.793000221252441,188896000,0,0,-0.02
2013-09-09,14.861000061035156,15.100000381469727,14.8100004196167,14.895999908447266,162428000,0,0,-0.02
2013-09-16,14.991000175476074,16.028499603271484,14.762999534606934,15.817000389099121,294090000,0,0,-0.02
2013-09-23,15.700499534606934,15.968500137329102,15.43850040435791,15.80049991607666,191490000,0,0,-0.02
2013-09-30,15.670499801635742,16.145999908447266,15.553000450134277,15.95199966430664,214544000,0,0,-0.02
2013-10-07,15.76200008392334,15.767000198364258,14.824999809265137,15.544500350952148,264300000,0,0,-0.02
2013-10-14,15.461000442504883,16.594499588012695,15.26200008392334,16.446500778198242,299782000,0,0,-0.02
2013-10-21,16.49449920654297,18.420000076293945,16.190000534057617,18.16950035095215,543950000,0,0,-0.02
2013-10-28,17.996000289916992,18.299999237060547,17.80500030517578,17.950000762939453,322424000,0,0,-0.09
2013-11-04,18.006000518798828,18.14349937438965,17.0939998626709,17.515499114990234,262620000,0,0,-0.09
2013-11-11,17.529499053955078,18.645000457763672,17.284000396728516,18.458499908447266,320590000,0,0,-0.09
2013-11-18,18.513999938964844,18.725000381469727,18.022499084472656,18.61549949645996,226876000,0,0,-0.09
2013-11-25,18.69099998474121,19.704999923706055,18.659000396728516,19.680999755859375,207448000,0,0,-0.09
2013-12-02,19.950000762939453,19.950000762939453,19.068500518798828,19.34749984741211,293268000,0,0,-0.09
2013-12-09,19.405500411987305,19.47100067138672,18.975000381469727,19.211999893188477,261972000,0,0,-0.09
2013-12-16,19.25149917602539,20.236000061035156,19.155000686645508,20.110000610351562,310916000,0,0,-0.09
2013-12-23,20.184499740600586,20.2814998626709,19.8125,19.90399932861328,157906000,0,0,-0.09
2013-12-30,19.970500946044922,20.135499954223633,19.622499465942383,19.82200050354004,176632000,0,0,-0.09
2014-01-06,19.792499542236328,20.344499588012695,19.42099952697754,19.882999420166016,243712000,0,0,-0.09
2014-01-13,19.89900016784668,20.17449951171875,19.422500610351562,19.980499267578125,299392000,0,0,-0.09
2014-01-20,20.149999618530273,20.402999877929688,19.363500595092773,19.3799991607666,253328000,0,0,-0.09
2014-01-27,19.524999618530273,20.3125,17.88800048828125,17.934499740600586,736846000,0,0,-0.09
2014-02-03,17.948999404907227,18.09000015258789,16.886499404907227,18.054000854492188,543906000,0,0,0.51
2014-02-10,18.08049964904785,18.25,17.31599998474121,17.86750030517578,419094000,0,0,0.51
2014-02-17,17.763999938964844,17.786500930786133,17.2189998626709,17.33799934387207,337378000,0,0,0.51
2014-02-24,17.25950050354004,18.293500900268555,17.164499282836914,18.104999542236328,359802000,0,0,0.51
2014-03-03,17.937000274658203,18.76650047302246,17.724000930786133,18.60300064086914,291148000,0,0,0.51
2014-03-10,18.63450050354004,19.155500411987305,18.180500030517578,18.687000274658203,355994000,0,0,0.51
2014-03-17,18.785999298095703,18.950000762939453,17.920000076293945,18.0310001373291,308116000,0,0,0.51
2014-03-24,18.004499435424805,18.075000762939453,16.54400062561035,16.914499282836914,463862000,0,0,0.51
2014-03-31,17.1200008392334,17.415000915527344,15.780500411987305,16.149999618530273,626140000,0,0,0.51
2014-04-07,16.04949951171875,16.608999252319336,15.475000381469727,15.58650016784668,642516000,0,0,0.51
2014-04-14,15.883500099182129,16.433000564575195,15.274999618530273,16.245500564575195,365524000,0,0,0.51
2014-04-21,16.19849967956543,16.875,15.135499954223633,15.191499710083008,715790000,0,0,0.51
2014-04-28,15.199999809265137,15.66450023651123,14.399999618530273,15.400500297546387,668028000,0,0,0.23
2014-05-05,15.318499565124512,15.511500358581543,14.218999862670898,14.612000465393066,442572000,0,0,0.23
2014-05-12,14.71500015258789,15.279999732971191,14.519000053405762,14.885000228881836,369894000,0,0,0.23
2014-05-19,14.788000106811523,15.617500305175781,14.690500259399414,15.612000465393066,308368000,0,0,0.23
2014-05-26,15.720499992370605,15.743499755859375,15.369000434875488,15.6274995803833,284276000,0,0,0.23
2014-06-02,15.629500389099121,16.54400062561035,15.192000389099121,16.48349952697754,394608000,0,0,0.23
2014-06-09,16.578500747680664,17.035999298095703,16.17650032043457,16.313499450683594,367070000,0,0,0.23
2014-06-16,16.243000030517578,16.94499969482422,16.020999908447266,16.209999084472656,463000000,0,0,0.23
2014-06-23,16.166500091552734,16.486499786376953,16.070499420166016,16.228500366210938,253498000,0,0,0.23
2014-06-30,16.249000549316406,16.915000915527344,16.11199951171875,16.874500274658203,209410000,0,0,0.23
2014-07-07,16.875,17.350000381469727,16.06999969482422,17.309999465942383,410648000,0,0,0.23
2014-07-14,17.351499557495117,17.983999252319336,17.26799964904785,17.933000564575195,406556000,0,0,0.23
2014-07-21,17.905000686645508,18.24250030517578,15.73799991607666,16.20050048828125,655796000,0,0,0.23
2014-07-28,16.212499618530273,16.240999221801758,15.229499816894531,15.352999687194824,508366000,0,0,-0.27
2014-08-04,15.442000389099121,15.866000175476074,15.425000190734863,15.84000015258789,299828000,0,0,-0.27
2014-08-11,15.923999786376953,16.75,15.843999862670898,16.681499481201172,332812000,0,0,-0.27
2014-08-18,16.77400016784668,16.889999389648438,16.540000915527344,16.579500198364258,203840000,0,0,-0.27
2014-08-25,16.660499572753906,17.333499908447266,16.635499954223633,16.95199966430664,255324000,0,0,-0.27
2014-09-01,16.999000549316406,17.4689998626709,16.857999801635742,17.319000244140625,207846000,0,0,-0.27
2014-09-08,17.226999282836914,17.29050064086914,16.319499969482422,16.559499740600586,350980000,0,0,-0.27
2014-09-15,16.545499801635742,16.63800048828125,15.949999809265137,16.56599998474121,417188000,0,0,-0.27
2014-09-22,16.42449951171875,16.47450065612793,15.881999969482422,16.160499572753906,293426000,0,0,-0.27
2014-09-29,16.024999618530273,16.257999420166016,15.565500259399414,16.136999130249023,284824000,0,0,-0.27
2014-10-06,16.174999237060547,16.206499099731445,15.569000244140625,15.569499969482422,307566000,0,0,-0.27
2014-10-13,15.493499755859375,15.65999984741211,14.691499710083008,15.182000160217285,444600000,0,0,-0.27
2014-10-20,15.147500038146973,15.949000358581543,14.199999809265137,14.352999687194824,775180000,0,0,-0.27
2014-10-27,14.28499984741211,15.28600025177002,14.25100040435791,15.27299976348877,500220000,0,0,-0.95
2014-11-03,15.312000274658203,15.400500297546387,14.614500045776367,14.993000030517578,354998000,0,0,-0.95
2014-11-10,15.0,16.643999099731445,15.0,16.391000747680664,427198000,0,0,-0.95
2014-11-17,16.32200050354004,16.916500091552734,15.90149974822998,16.631500244140625,390386000,0,0,-0.95
2014-11-24,16.73900032043457,17.062999725341797,16.56399917602539,16.93199920654297,207092000,0,0,-0.95
2014-12-01,16.9060001373291,17.031999588012695,15.541999816894531,15.631500244140625,399434000,0,0,-0.95
2014-12-08,15.578499794006348,15.82800006866455,15.057000160217285,15.366000175476074,347020000,0,0,-0.95
2014-12-15,15.443499565124512,15.543000221252441,14.65149974822998,14.994999885559082,624472000,0,0,-0.95
2014-12-22,15.097000122070312,15.538999557495117,15.097000122070312,15.454500198364258,222502000,0,0,-0.95
2014-12-29,15.392499923706055,15.737500190734863,15.329000473022461,15.425999641418457,198664000,0,0,-0.95
2015-01-05,15.350500106811523,15.418999671936035,14.619000434875488,14.846500396728516,292286000,0,0,-0.95
2015-01-12,14.878000259399414,15.074999809265137,14.262499809265137,14.536999702453613,419878000,0,0,-0.95
2015-01-19,14.629500389099121,15.846500396728516,14.319499969482422,15.619500160217285,459984000,0,0,-0.95
2015-01-26,15.590999603271484,17.975000381469727,14.966500282287598,17.726499557495117,833330000,0,0,-0.95
2015-02-02,17.502500534057617,18.940000534057617,17.500499725341797,18.714000701904297,635088000,0,0,0.45
2015-02-09,18.549999237060547,19.149999618530273,18.360000610351562,19.09149932861328,281290000,0,0,0.45
2015-02-16,18.88599967956543,19.184999465942383,18.633499145507812,19.183000564575195,250712000,0,0,0.45
2015-02-23,19.172000885009766,19.4685001373291,18.808000564575195,19.007999420166016,249834000,0,0,0.45
2015-03-02,19.042499542236328,19.42099952697754,18.944000244140625,19.004499435424805,233306000,0,0,0.45
2015-03-09,18.920000076293945,18.96649932861328,18.312999725341797,18.52899932861328,266984000,0,0,0.45
2015-03-16,18.518999099731445,18.9685001373291,18.334999084472656,18.92449951171875,254490000,0,0,0.45
2015-03-23,18.903499603271484,19.088499069213867,18.282499313354492,18.527999877929688,268736000,0,0,0.45
2015-03-30,18.5935001373291,18.885000228881836,18.41699981689453,18.612499237060547,173208000,0,0,0.45
2015-04-06,18.5049991607666,19.356000900268555,18.468000411987305,19.13249969482422,252156000,0,0,0.45
2015-04-13,19.17650032043457,19.390499114990234,18.719999313354492,18.777999877929688,246628000,0,0,0.45
2015-04-20,18.927499771118164,22.63249969482422,18.850000381469727,22.2549991607666,765824000,0,0,0.45
2015-04-27,22.19300079345703,22.34950065612793,20.799999237060547,21.14349937438965,408136000,0,0,-0.12
2015-05-04,21.239999771118164,21.760000228881836,20.727500915527344,21.684499740600586,267084000,0,0,-0.12
2015-05-11,21.625499725341797,21.950000762939453,21.21500015258789,21.299999237060547,249332000,0,0,-0.12
2015-05-18,21.299999237060547,21.844999313354492,20.917999267578125,21.381500244140625,263852000,0,0,-0.12
2015-05-25,21.309999465942383,21.625,21.100000381469727,21.46150016784668,188076000,0,0,-0.12
2015-06-01,21.520000457763672,21.91950035095215,21.309999465942383,21.34749984741211,221376000,0,0,-0.12
2015-06-08,21.2810001373291,21.944499969482422,20.957000732421875,21.496000289916992,232208000,0,0,-0.12
2015-06-15,21.382999420166016,22.249500274658203,21.131999969482422,21.746000289916992,288136000,0,0,-0.12
2015-06-22,21.850000381469727,22.351999282836914,21.684499740600586,21.905000686645508,251028000,0,0,-0.12
